"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","0.6653","0.6860","0.6860","0.6653","118.10M","-2.98%"
"05/31/2025","0.6857","0.6891","0.6948","0.6567","172.84M","-0.45%"
"05/30/2025","0.6888","0.7222","0.7277","0.6827","231.11M","-4.62%"
"05/29/2025","0.7222","0.7476","0.7647","0.7203","152.14M","-3.39%"
"05/28/2025","0.7475","0.7584","0.7609","0.7329","118.29M","-1.43%"
"05/27/2025","0.7584","0.7604","0.7754","0.7439","143.58M","-0.27%"
"05/26/2025","0.7604","0.7599","0.7769","0.7513","124.12M","0.09%"
"05/25/2025","0.7598","0.7468","0.7602","0.7281","124.66M","1.73%"
"05/24/2025","0.7468","0.7471","0.7668","0.7412","120.21M","-0.06%"
"05/23/2025","0.7473","0.8092","0.8413","0.7432","300.05M","-7.65%"
"05/22/2025","0.8092","0.7696","0.8106","0.7692","180.68M","5.21%"
"05/21/2025","0.7691","0.7461","0.7835","0.7369","193.71M","3.10%"
"05/20/2025","0.7459","0.7427","0.7533","0.7231","133.48M","0.45%"
"05/19/2025","0.7425","0.7605","0.7642","0.7108","167.31M","-2.37%"
"05/18/2025","0.7605","0.7427","0.7764","0.7179","183.35M","2.40%"
"05/17/2025","0.7427","0.7588","0.7811","0.7271","184.03M","-2.12%"
"05/16/2025","0.7588","0.7625","0.7857","0.7509","131.74M","-0.41%"
"05/15/2025","0.7619","0.7987","0.8100","0.7449","242.82M","-4.61%"
"05/14/2025","0.7987","0.8299","0.8325","0.7891","193.24M","-3.79%"
"05/13/2025","0.8302","0.8170","0.8417","0.7728","229.98M","1.60%"
"05/12/2025","0.8171","0.8052","0.8635","0.7815","319.66M","1.49%"
"05/11/2025","0.8051","0.8406","0.8452","0.7818","188.45M","-4.25%"
"05/10/2025","0.8409","0.7774","0.8432","0.7712","251.40M","8.12%"
"05/09/2025","0.7777","0.7692","0.8169","0.7553","300.50M","1.06%"
"05/08/2025","0.7696","0.6716","0.7704","0.6700","319.49M","14.62%"
"05/07/2025","0.6714","0.6785","0.6888","0.6554","133.42M","-1.02%"
"05/06/2025","0.6783","0.6625","0.6806","0.6431","120.63M","2.38%"
"05/05/2025","0.6626","0.6762","0.6908","0.6543","161.04M","-2.08%"
"05/04/2025","0.6766","0.6996","0.7140","0.6722","162.57M","-3.29%"
"05/03/2025","0.6996","0.6982","0.7293","0.6918","177.63M","0.21%"
"05/02/2025","0.6982","0.7050","0.7247","0.6892","148.87M","-0.99%"
"05/01/2025","0.7052","0.6816","0.7145","0.6816","126.96M","3.46%"
"04/30/2025","0.6816","0.6955","0.7031","0.6656","147.23M","-2.07%"
"04/29/2025","0.6960","0.7057","0.7180","0.6891","201.37M","-1.33%"
"04/28/2025","0.7054","0.7032","0.7288","0.6828","191.30M","0.31%"
"04/27/2025","0.7032","0.7072","0.7177","0.6911","112.84M","-0.53%"
"04/26/2025","0.7070","0.7136","0.7338","0.7005","138.04M","-0.97%"
"04/25/2025","0.7139","0.7220","0.7291","0.7022","200.30M","-1.10%"
"04/24/2025","0.7218","0.6977","0.7445","0.6705","227.56M","3.46%"
"04/23/2025","0.6977","0.6796","0.7164","0.6777","227.30M","2.74%"
"04/22/2025","0.6791","0.6243","0.6845","0.6164","208.15M","8.79%"
"04/21/2025","0.6242","0.6203","0.6502","0.6163","162.55M","0.68%"
"04/20/2025","0.6200","0.6281","0.6344","0.6098","72.52M","-1.28%"
"04/19/2025","0.6280","0.6277","0.6348","0.6196","67.23M","0.04%"
"04/18/2025","0.6278","0.6167","0.6318","0.6105","86.50M","1.79%"
"04/17/2025","0.6167","0.6105","0.6296","0.6092","102.25M","1.00%"
"04/16/2025","0.6106","0.6089","0.6237","0.5956","170.58M","0.23%"
"04/15/2025","0.6092","0.6353","0.6483","0.6072","186.05M","-4.09%"
"04/14/2025","0.6352","0.6379","0.6567","0.6284","160.14M","-0.43%"
"04/13/2025","0.6379","0.6597","0.6667","0.6309","144.23M","-3.28%"
"04/12/2025","0.6596","0.6240","0.6668","0.6177","146.24M","5.72%"
"04/11/2025","0.6239","0.6094","0.6424","0.6063","195.83M","2.36%"
"04/10/2025","0.6095","0.6316","0.6334","0.5866","216.23M","-3.50%"
"04/09/2025","0.6316","0.5587","0.6455","0.5373","372.95M","13.12%"
"04/08/2025","0.5583","0.5858","0.6191","0.5532","297.30M","-4.69%"
"04/07/2025","0.5858","0.5733","0.6041","0.5124","485.77M","2.13%"
"04/06/2025","0.5736","0.6547","0.6550","0.5614","198.53M","-12.39%"
"04/05/2025","0.6547","0.6609","0.6673","0.6454","61.50M","-0.85%"
"04/04/2025","0.6603","0.6504","0.6707","0.6281","158.63M","1.52%"
"04/03/2025","0.6504","0.6390","0.6574","0.6136","145.74M","1.61%"
"04/02/2025","0.6401","0.6772","0.7071","0.6359","197.24M","-5.46%"
"04/01/2025","0.6771","0.6614","0.6938","0.6579","145.14M","2.32%"
"03/31/2025","0.6617","0.6612","0.6652","0.6300","170.04M","0.07%"
"03/30/2025","0.6613","0.6731","0.6871","0.6514","103.53M","-1.77%"
"03/29/2025","0.6731","0.7062","0.7121","0.6592","139.81M","-4.66%"
"03/28/2025","0.7060","0.7381","0.7461","0.6901","184.00M","-4.33%"
"03/27/2025","0.7380","0.7287","0.7442","0.7213","117.49M","1.29%"
"03/26/2025","0.7286","0.7447","0.7733","0.7198","204.69M","-2.19%"
"03/25/2025","0.7450","0.7318","0.7661","0.7210","243.20M","1.76%"
"03/24/2025","0.7321","0.7103","0.7449","0.7059","223.87M","3.06%"
"03/23/2025","0.7104","0.7014","0.7158","0.6920","153.27M","1.28%"
"03/22/2025","0.7014","0.7050","0.7160","0.6975","110.49M","-0.49%"
"03/21/2025","0.7048","0.7179","0.7273","0.7007","159.73M","-1.81%"
"03/20/2025","0.7178","0.7437","0.7551","0.7125","233.04M","-3.47%"
"03/19/2025","0.7437","0.7018","0.7467","0.7006","281.11M","5.96%"
"03/18/2025","0.7018","0.7176","0.7183","0.6822","194.65M","-2.20%"
"03/17/2025","0.7176","0.7049","0.7299","0.7032","181.83M","1.77%"
"03/16/2025","0.7052","0.7468","0.7468","0.6963","213.70M","-5.56%"
"03/15/2025","0.7467","0.7369","0.7590","0.7310","176.47M","1.35%"
"03/14/2025","0.7367","0.7030","0.7499","0.6966","252.31M","4.80%"
"03/13/2025","0.7030","0.7358","0.7395","0.6914","293.57M","-4.48%"
"03/12/2025","0.7360","0.7237","0.7649","0.7113","321.92M","1.71%"
"03/11/2025","0.7236","0.6713","0.7441","0.6475","475.49M","7.88%"
"03/10/2025","0.6707","0.7218","0.7780","0.6586","518.89M","-6.83%"
"03/09/2025","0.7199","0.8050","0.8175","0.7100","413.03M","-10.54%"
"03/08/2025","0.8048","0.8174","0.8390","0.7944","268.41M","-1.69%"
